fips,date,zhvi
Solano County,2025-04-30,602531.5099417167
Santa Barbara County,2025-04-30,1046419.1311015432
Monterey County,2025-04-30,878681.403132711
Placer County,2025-04-30,707836.6158562059
San Luis Obispo County,2025-04-30,922140.0292069672
Merced County,2025-04-30,425812.242543656
Santa Cruz County,2025-04-30,1176387.8438609636
Marin County,2025-04-30,1609681.0854591515
Butte County,2025-04-30,403043.9666520495
Yolo County,2025-04-30,641700.2693906497
El Dorado County,2025-04-30,667305.0049776188
Shasta County,2025-04-30,378547.8167857442
Imperial County,2025-04-30,357585.16265026137
Madera County,2025-04-30,418919.50784806913
Kings County,2025-04-30,355912.3081012026
Napa County,2025-04-30,943146.333130619
Humboldt County,2025-04-30,443397.0274238219
Nevada County,2025-04-30,624007.6536934879
Sutter County,2025-04-30,440981.94459241984
Mendocino County,2025-04-30,508947.5481677127
Yuba County,2025-04-30,431636.5877504105
Lake County,2025-04-30,317064.9687629997
Tehama County,2025-04-30,316294.5337364412
San Benito County,2025-04-30,779201.3569750934
Tuolumne County,2025-04-30,407484.6040252403
Calaveras County,2025-04-30,457211.8515790806
Siskiyou County,2025-04-30,289994.3669324606
Amador County,2025-04-30,429610.00239799736
Lassen County,2025-04-30,229058.76311868877
Glenn County,2025-04-30,350106.84392331843
Del Norte County,2025-04-30,366174.45670839
Colusa County,2025-04-30,371120.4862701031
Plumas County,2025-04-30,367598.7978181438
Inyo County,2025-04-30,509625.3341428056
Mariposa County,2025-04-30,400237.7977378436
Trinity County,2025-04-30,264750.7469833813
Mono County,2025-04-30,840924.6230022981
Modoc County,2025-04-30,185099.4421260643
Sierra County,2025-04-30,329649.6363148713
Alpine County,2025-04-30,591669.3911469714
Los Angeles County,2025-05-31,928403.0176010964
San Diego County,2025-05-31,1020227.1856396368
Orange County,2025-05-31,1289014.736670643
Riverside County,2025-05-31,630021.0997720292
San Bernardino County,2025-05-31,558919.2402140341
Santa Clara County,2025-05-31,1838161.996006111
Alameda County,2025-05-31,1216994.9466402936
Sacramento County,2025-05-31,550629.815326309
Contra Costa County,2025-05-31,854143.369787563
Fresno County,2025-05-31,413361.0717713339
Kern County,2025-05-31,366851.8430645683
San Francisco County,2025-05-31,1434206.6026343296
Ventura County,2025-05-31,927503.5422298412
San Joaquin County,2025-05-31,557639.7676691165
San Mateo County,2025-05-31,1740289.0126991216
Stanislaus County,2025-05-31,473930.466811534
Sonoma County,2025-05-31,837364.0391485016
Tulare County,2025-05-31,360719.78117936297
Solano County,2025-05-31,599597.0395017281
Santa Barbara County,2025-05-31,1043011.2076389178
Monterey County,2025-05-31,875507.0654786254
Placer County,2025-05-31,704344.9465749287
San Luis Obispo County,2025-05-31,922936.3387383363
Merced County,2025-05-31,424730.9279746805
Santa Cruz County,2025-05-31,1173694.4457938678
Marin County,2025-05-31,1602810.5197247283
Butte County,2025-05-31,403048.43006908783
Yolo County,2025-05-31,640136.5783980566
El Dorado County,2025-05-31,665029.5133243739
Shasta County,2025-05-31,378182.56548019167
Imperial County,2025-05-31,358148.9581220108
Madera County,2025-05-31,418463.6779813802
Kings County,2025-05-31,355623.8445826852
Napa County,2025-05-31,937873.980827644
Humboldt County,2025-05-31,439994.5806693309
Nevada County,2025-05-31,622189.6748297424
Sutter County,2025-05-31,439573.2504353565
Mendocino County,2025-05-31,506380.9130846949
Yuba County,2025-05-31,429989.8060913873
Lake County,2025-05-31,316231.5106338613
Tehama County,2025-05-31,315238.1839153771
San Benito County,2025-05-31,778683.0645265197
Tuolumne County,2025-05-31,404983.6191058495
Calaveras County,2025-05-31,456234.7266019751
Siskiyou County,2025-05-31,289482.45018591726
Amador County,2025-05-31,427530.93871664576
Lassen County,2025-05-31,229225.48803757408
Glenn County,2025-05-31,349567.3541148612
Del Norte County,2025-05-31,364210.6482421029
Colusa County,2025-05-31,370465.6919467368
Plumas County,2025-05-31,368663.77338866825
Inyo County,2025-05-31,511549.7902034458
Mariposa County,2025-05-31,400376.00683354185
Trinity County,2025-05-31,263165.6520337469
Mono County,2025-05-31,841528.0338673481
Modoc County,2025-05-31,186001.90138189276
Sierra County,2025-05-31,330391.4473741055
Alpine County,2025-05-31,591743.3681428524
Los Angeles County,2025-06-30,924045.1839042432
San Diego County,2025-06-30,1014506.9702252784
Orange County,2025-06-30,1282587.0067137908
Riverside County,2025-06-30,627532.1544125794
San Bernardino County,2025-06-30,556327.7316931543
Santa Clara County,2025-06-30,1817847.1179283725
Alameda County,2025-06-30,1202763.6740705792
Sacramento County,2025-06-30,548010.2893805051
Contra Costa County,2025-06-30,847346.5494519835
Fresno County,2025-06-30,412497.2794432973
Kern County,2025-06-30,366400.9710822447
San Francisco County,2025-06-30,1426451.14136401
Ventura County,2025-06-30,924409.9876414732
San Joaquin County,2025-06-30,554028.8658583473
San Mateo County,2025-06-30,1729875.848064202
Stanislaus County,2025-06-30,473275.335655784
Sonoma County,2025-06-30,833065.6690306979
Tulare County,2025-06-30,360412.1656304111
Solano County,2025-06-30,596411.5998844173
Santa Barbara County,2025-06-30,1039010.1831059812
Monterey County,2025-06-30,872061.8768937788
Placer County,2025-06-30,700242.4110021271
San Luis Obispo County,2025-06-30,923070.2026755929
Merced County,2025-06-30,423612.6100567312
Santa Cruz County,2025-06-30,1170708.8309051902
Marin County,2025-06-30,1595822.377343207
Butte County,2025-06-30,403112.3893388898
Yolo County,2025-06-30,638322.4313850706
El Dorado County,2025-06-30,662061.7586198685
Shasta County,2025-06-30,377637.9379390727
Imperial County,2025-06-30,359731.26863169303
Madera County,2025-06-30,418204.4110702444
Kings County,2025-06-30,355373.5808614578
Napa County,2025-06-30,930866.3763259297
Humboldt County,2025-06-30,436781.5209163424
Nevada County,2025-06-30,620043.7322060205
Sutter County,2025-06-30,438453.9101946557
Mendocino County,2025-06-30,504553.19959092
Yuba County,2025-06-30,428122.2354914284
Lake County,2025-06-30,315153.290332735
Tehama County,2025-06-30,314210.1439084485
San Benito County,2025-06-30,777791.9608526571
Tuolumne County,2025-06-30,401764.5566803259
Calaveras County,2025-06-30,454526.9431560868
Siskiyou County,2025-06-30,288838.905297384
Amador County,2025-06-30,425500.0330101021
Lassen County,2025-06-30,229643.54861520705
Glenn County,2025-06-30,349405.0853359332
Del Norte County,2025-06-30,362734.0272395271
Colusa County,2025-06-30,370391.09690333134
Plumas County,2025-06-30,369072.4200478133
Inyo County,2025-06-30,512932.4212241657
Mariposa County,2025-06-30,399139.67025330727
Trinity County,2025-06-30,261508.8773049011
Mono County,2025-06-30,839291.7368396544
Modoc County,2025-06-30,186678.4726266762
Sierra County,2025-06-30,330583.74537041323
Alpine County,2025-06-30,591734.750072745
Los Angeles County,2025-07-31,922120.9935111504
San Diego County,2025-07-31,1009636.3507687025
Orange County,2025-07-31,1277182.790704888
Riverside County,2025-07-31,624459.4508570825
San Bernardino County,2025-07-31,554088.7447984138
Santa Clara County,2025-07-31,1804422.4020445505
Alameda County,2025-07-31,1188235.8509482008
Sacramento County,2025-07-31,545169.4334346884
Contra Costa County,2025-07-31,841271.0827385437
Fresno County,2025-07-31,411487.0989409453
Kern County,2025-07-31,365716.2558119812
San Francisco County,2025-07-31,1421031.266246301
Ventura County,2025-07-31,920857.67892951
San Joaquin County,2025-07-31,550818.5016902906
San Mateo County,2025-07-31,1722348.0982076044
Stanislaus County,2025-07-31,471912.97596829705
Sonoma County,2025-07-31,828732.7871613721
Tulare County,2025-07-31,359473.283188797
Solano County,2025-07-31,593504.6242927279
Santa Barbara County,2025-07-31,1037177.2881467215
Monterey County,2025-07-31,869200.886974305
Placer County,2025-07-31,697438.0632135511
San Luis Obispo County,2025-07-31,923835.86895341
Merced County,2025-07-31,422129.1889798769
Santa Cruz County,2025-07-31,1169835.123398168
Marin County,2025-07-31,1592088.844528325
Butte County,2025-07-31,403423.9493179258
Yolo County,2025-07-31,635890.1308617396
El Dorado County,2025-07-31,659984.7179798287
Shasta County,2025-07-31,376755.9920048469
Imperial County,2025-07-31,362378.387569248
Madera County,2025-07-31,417920.7876693358
Kings County,2025-07-31,355223.1391747618
Napa County,2025-07-31,924975.9138198122
Humboldt County,2025-07-31,433605.06723696826
Nevada County,2025-07-31,618234.6185180411
Sutter County,2025-07-31,437912.3623939336
Mendocino County,2025-07-31,502015.97118505416
Yuba County,2025-07-31,426414.96799247735
Lake County,2025-07-31,313808.5626169667
Tehama County,2025-07-31,313582.63016218645
San Benito County,2025-07-31,775312.1974074324
Tuolumne County,2025-07-31,399097.00090933865
Calaveras County,2025-07-31,452291.990474904
Siskiyou County,2025-07-31,288760.53722850734
Amador County,2025-07-31,423464.82636331226
Lassen County,2025-07-31,230134.3115286225
Glenn County,2025-07-31,350162.12489704625
Del Norte County,2025-07-31,362185.4329128141
Colusa County,2025-07-31,370940.6174545726
Plumas County,2025-07-31,368219.704863234
Inyo County,2025-07-31,514494.745351655
Mariposa County,2025-07-31,397011.04991490144
Trinity County,2025-07-31,260319.14334417987
Mono County,2025-07-31,837751.2605215326
Modoc County,2025-07-31,186905.3400953065
Sierra County,2025-07-31,331117.2887147777
Alpine County,2025-07-31,591028.411628269
Los Angeles County,2025-08-31,922131.2941456924
San Diego County,2025-08-31,1005682.0346740312
Orange County,2025-08-31,1272844.1170526322
Riverside County,2025-08-31,621484.339580359
San Bernardino County,2025-08-31,552212.4707471485
Santa Clara County,2025-08-31,1800608.3701361965
Alameda County,2025-08-31,1174972.899435187
Sacramento County,2025-08-31,542575.3434372788
Contra Costa County,2025-08-31,836390.3082253222
Fresno County,2025-08-31,410707.7335395388
Kern County,2025-08-31,364847.1463932072
San Francisco County,2025-08-31,1419873.2714802902
Ventura County,2025-08-31,917559.0413428053
San Joaquin County,2025-08-31,547497.4610594157
San Mateo County,2025-08-31,1716955.3479052105
Stanislaus County,2025-08-31,470189.68758170935
Sonoma County,2025-08-31,823824.7334702607
Tulare County,2025-08-31,358134.9165232346
Solano County,2025-08-31,591156.1809578142
Santa Barbara County,2025-08-31,1036621.8038857232
Monterey County,2025-08-31,866998.6156631758
Placer County,2025-08-31,695833.2549478807
San Luis Obispo County,2025-08-31,923623.6211642424
Merced County,2025-08-31,420465.56039032014
Santa Cruz County,2025-08-31,1168726.4402734523
Marin County,2025-08-31,1590634.185688641
Butte County,2025-08-31,403770.3774997841
Yolo County,2025-08-31,633331.8277477442
El Dorado County,2025-08-31,658283.0324767163
Shasta County,2025-08-31,375683.7627898466
Imperial County,2025-08-31,364902.097430918
Madera County,2025-08-31,417585.7134805184
Kings County,2025-08-31,355348.7961771966
Napa County,2025-08-31,918176.3850617332
Humboldt County,2025-08-31,431979.9685793417
Nevada County,2025-08-31,616897.1396870842
Sutter County,2025-08-31,437985.75920457166
Mendocino County,2025-08-31,500620.81179861183
Yuba County,2025-08-31,424577.276117396
Lake County,2025-08-31,312127.0503915636
Tehama County,2025-08-31,313151.9647019888
San Benito County,2025-08-31,772097.8687840212
Tuolumne County,2025-08-31,397002.5427471797
Calaveras County,2025-08-31,449252.11505905545
Siskiyou County,2025-08-31,287894.40906709834
Amador County,2025-08-31,421490.0268294858
Lassen County,2025-08-31,230101.2082787831
Glenn County,2025-08-31,351375.0051403975
Del Norte County,2025-08-31,362389.23260728014
Colusa County,2025-08-31,371309.3324229792
Plumas County,2025-08-31,366393.4300723141
Inyo County,2025-08-31,514889.5455894114
Mariposa County,2025-08-31,395042.2035545322
Trinity County,2025-08-31,259467.0865547066
Mono County,2025-08-31,835731.5279873657
Modoc County,2025-08-31,186538.51098907852
Sierra County,2025-08-31,330697.47300142323
Alpine County,2025-08-31,588411.3084055865
Los Angeles County,2025-09-30,924579.3922710927
San Diego County,2025-09-30,1003408.3879460916
Orange County,2025-09-30,1271429.4573490077
Riverside County,2025-09-30,619717.2119775455
San Bernardino County,2025-09-30,551151.4430893083
Santa Clara County,2025-09-30,1808025.076126937
Alameda County,2025-09-30,1168052.2576889044
Sacramento County,2025-09-30,540961.4628526994
Contra Costa County,2025-09-30,833450.3978297712
Fresno County,2025-09-30,410877.5493726803
Kern County,2025-09-30,364446.0057179579
San Francisco County,2025-09-30,1425900.847436894
Ventura County,2025-09-30,915696.2739473878
San Joaquin County,2025-09-30,545237.2337163547
San Mateo County,2025-09-30,1718505.152015902
Stanislaus County,2025-09-30,469226.95806686487
Sonoma County,2025-09-30,820445.7985493875
Tulare County,2025-09-30,357573.93160017504
